Table 1 - Investments other than derivatives,,,,,,,,,,,,
Portfolio Holdings Information for:,Future Fund,,,,,,,,,,,
Reporting Date: ,31/12/2025,,,,,,,,,,,
,,,,,,,,,,,,
Asset Class,Internally or Externally Managed,Name of Institution,Name of Issuer / Counterparty,Name / Investment Item,Name of Investment Manager,Currency,Security Identifier,% Ownership, Units Held ,Value (AUD),Weighting (%),
Listed Equity,,,,Aegon Ltd.,,,BPH0Y27,,"835,492","9,770,501",0.00%,
Listed Equity,,,,Aena S.M.E. SA,,,BTMKJR0,,"501,631","21,044,207",0.01%,
Listed Equity,,,,"AEON Co., Ltd.",,,6480048,,"839,000","19,882,277",0.01%,
Listed Equity,,,,AerCap Holdings NV,,,B1HHKD3,,"189,680","40,891,350",0.02%,
Listed Equity,,,,Aéroports de Paris,,,B164FY1,,"13,596","2,667,490",0.00%,
Listed Equity,,,,"Affirm Holdings, Inc.",,,BMF9NM8,,"23,907","2,668,363",0.00%,
Listed Equity,,,,"Aflac, Inc.",,,2026361,,"206,304","34,114,332",0.01%,
Listed Equity,,,,"AGC, Inc. (Japan)",,,6055208,,"151,100","7,643,513",0.00%,
Listed Equity,,,,ageas SA/NV,,,B86S2N0,,"99,959","10,527,604",0.00%,
Listed Equity,,,,"Agilent Technologies, Inc.",,,2520153,,"142,360","29,048,399",0.01%,
Listed Equity,,,,AGL Energy Ltd.,,,BSS7GP5,,"9,254,809","86,162,272",0.03%,
Listed Equity,,,,Agnico Eagle Mines Ltd.,,,2009823,,"288,090","73,358,449",0.03%,
Listed Equity,,,,Agricultural Bank of China Ltd.,,,B60LZR6,,"22,634,000","25,721,555",0.01%,
Listed Equity,,,,Agricultural Bank of China Ltd.,,,BP3R228,,"1,953,200","3,222,756",0.00%,
Listed Equity,,,,AIA Group Ltd.,,,B4TX8S1,,"3,809,400","58,640,852",0.02%,
Listed Equity,,,,AIB Group plc,,,BF0L353,,"312,981","5,071,218",0.00%,
Listed Equity,,,,AIB Group plc,,,BYVZLK8,,"1,117,301","18,162,613",0.01%,
Listed Equity,,,,Air Liquide SA,,,B1YXBJ7,,"427,064","120,538,158",0.04%,
Listed Equity,,,,"Air Products & Chemicals, Inc.",,,2011602,,"64,188","23,777,041",0.01%,
Listed Equity,,,,"Airbnb, Inc.",,,BMGYYH4,,"115,724","23,552,615",0.01%,
Listed Equity,,,,Airbus SE,,,4012250,,"213,740","74,685,092",0.03%,
Listed Equity,,,,Aisin Corp.,,,6010702,,"357,300","10,001,969",0.00%,
Listed Equity,,,,Ajanta Pharma Ltd.,,,BWFGD74,,"33,752","1,559,260",0.00%,
Listed Equity,,,,"Ajinomoto Co., Inc.",,,6010906,,"500,900","15,895,517",0.01%,
Listed Equity,,,,Akbank TAS,,,B03MN70,,"1,324,308","3,226,351",0.00%,
Listed Equity,,,,Aker BP ASA,,,B1L95G3,,"210,035","8,021,804",0.00%,
Listed Equity,,,,Akzo Nobel NV,,,BJ2KSG2,,"108,259","11,287,355",0.00%,
Listed Equity,,,,Al Rajhi Bank,,,B12LZH9,,"1,012,880","39,483,036",0.01%,
