Table 1 - Investments other than derivatives,,,,,,,,,,,,
Portfolio Holdings Information for:,Future Fund,,,,,,,,,,,
Reporting Date: ,31/12/2025,,,,,,,,,,,
,,,,,,,,,,,,
Asset Class,Internally or Externally Managed,Name of Institution,Name of Issuer / Counterparty,Name / Investment Item,Name of Investment Manager,Currency,Security Identifier,% Ownership, Units Held ,Value (AUD),Weighting (%),
Listed Equity,,,,"New China Life Insurance Co., Ltd.",,,B5730Z1,,"1,706,200","17,865,962",0.01%,
Listed Equity,,,,New Hope Corp. Ltd.,,,6681960,,"7,485,267","30,165,626",0.01%,
Listed Equity,,,,Newmont Corp.,,,2636607,,"725,636","108,652,253",0.04%,
Listed Equity,,,,News Corp.,,,BBGVT40,,"175,580","6,877,333",0.00%,
Listed Equity,,,,Nexi SpA,,,BJ1F880,,"371,068","2,758,515",0.00%,
Listed Equity,,,,"NEXON Co., Ltd.",,,B63QM77,,"130,300","4,804,346",0.00%,
Listed Equity,,,,Next Plc,,,3208986,,"104,506","29,019,561",0.01%,
Listed Equity,,,,NextDC Ltd.,,,B5LMKP4,,"6,289,407","78,806,270",0.03%,
Listed Equity,,,,Nexteer Automotive Group Ltd.,,,BBPD5F0,,"2,460,000","3,038,016",0.00%,
Listed Equity,,,,"NextEra Energy, Inc.",,,2328915,,"184,365","22,195,130",0.01%,
Listed Equity,,,,"NH Investment & Securities Co., Ltd.",,,6537085,,"546,450","12,002,629",0.00%,
Listed Equity,,,,NIB Holdings Ltd.,,,B28ZM60,,"4,383,317","30,069,555",0.01%,
Listed Equity,,,,NIBE Industrier AB,,,BN7BZM3,,"855,269","4,955,575",0.00%,
Listed Equity,,,,NICE Ltd. (Israel),,,6647133,,"64,932","10,910,001",0.00%,
Listed Equity,,,,Nick Scali Ltd.,,,B00VZV8,,"1,340,926","31,605,626",0.01%,
Listed Equity,,,,Nickel Industries Ltd.,,,BZ7NDP2,,"4,158,816","3,472,611",0.00%,
Listed Equity,,,,NIDEC Corp.,,,6640682,,"509,500","10,392,249",0.00%,
Listed Equity,,,,"NIKE, Inc.",,,2640147,,"570,162","54,819,539",0.02%,
Listed Equity,,,,Nine Entertainment Co. Holdings Ltd.,,,BGQV183,,"15,495,579","17,200,093",0.01%,
Listed Equity,,,,"Nintendo Co., Ltd.",,,6639550,,"652,800","66,169,713",0.02%,
Listed Equity,,,,"Nippon Building Fund, Inc.",,,6396800,,"2,977","4,131,983",0.00%,
Listed Equity,,,,"Nippon Paint Holdings Co., Ltd.",,,6640507,,"380,400","3,838,377",0.00%,
Listed Equity,,,,Nippon Sanso Holdings Corp.,,,6640541,,"107,200","4,787,445",0.00%,
Listed Equity,,,,NIPPON STEEL CORP.,,,6642569,,"3,776,100","23,185,760",0.01%,
Listed Equity,,,,Nippon Yusen KK,,,6643960,,"353,900","17,192,990",0.01%,
Listed Equity,,,,"NiSource, Inc.",,,2645409,,"188,231","11,787,548",0.00%,
Listed Equity,,,,"Nissan Motor Co., Ltd.",,,6642860,,"1,432,400","5,345,870",0.00%,
Listed Equity,,,,"Nitori Holdings Co., Ltd.",,,6644800,,"232,500","6,100,251",0.00%,
Listed Equity,,,,Nitto Denko Corp.,,,6641801,,"551,000","19,583,421",0.01%,
Listed Equity,,,,NMDC Ltd.,,,6148119,,"15,310,532","21,245,583",0.01%,
Listed Equity,,,,NN Group NV,,,BNG8PQ9,,"212,915","24,651,446",0.01%,
Listed Equity,,,,Nokia Oyj,,,5902941,,"5,512,793","54,099,000",0.02%,
Listed Equity,,,,"Nomura Holdings, Inc.",,,6643108,,"2,002,900","24,929,565",0.01%,
Listed Equity,,,,Nomura Research Institute Ltd.,,,6390921,,"217,200","12,511,420",0.00%,
Listed Equity,,,,"Nongfu Spring Co., Ltd.",,,BMGWW30,,"396,400","3,577,235",0.00%,
Listed Equity,,,,Nordea Bank Abp,,,BFM0SV9,,"1,543,871","43,735,946",0.02%,
Listed Equity,,,,Nordea Bank Abp,,,BYZF9J9,,"155,075","4,387,970",0.00%,
Listed Equity,,,,Nordson Corp.,,,2641838,,"16,023","5,796,729",0.00%,
Listed Equity,,,,Norfolk Southern Corp.,,,2641894,,"103,797","44,940,046",0.02%,
Listed Equity,,,,Norsk Hydro ASA,,,B11HK39,,"1,378,435","16,025,416",0.01%,
Listed Equity,,,,Northern Star Resources Ltd.,,,6717456,,"17,113,421","457,441,743",0.17%,
Listed Equity,,,,Northern Trust Corp.,,,2648668,,"82,033","16,901,123",0.01%,
Listed Equity,,,,Northrop Grumman Corp.,,,2648806,,"73,386","62,750,890",0.02%,
Listed Equity,,,,Nova Ltd.,,,6534161,,"25,145","12,613,213",0.00%,
Listed Equity,,,,Novartis AG,,,7103065,,"1,579,140","327,597,663",0.12%,
Listed Equity,,,,NOVATEK JSC,,,B59HPK1,,"47,500",0,0.00%,
Listed Equity,,,,Novatek Microelectronics Corp.,,,6346333,,"128,000","2,284,759",0.00%,
Listed Equity,,,,Novo Nordisk A/S,,,BP6KMJ1,,"2,861,613","219,467,514",0.08%,
Listed Equity,,,,Novolipetsk Steel,,,B59FPC7,,"3,011,298",0,0.00%,
Listed Equity,,,,Novolipetsk Steel,,,4578741,,"574,315",0,0.00%,
Listed Equity,,,,Novonesis (Novozymes A/S),,,B798FW0,,"127,809","12,289,966",0.00%,
Listed Equity,,,,"NRG Energy, Inc.",,,2212922,,"53,790","12,844,747",0.00%,
Listed Equity,,,,NRW Holdings Ltd.,,,B23XW70,,"3,596,924","18,524,159",0.01%,
Listed Equity,,,,"NTT, Inc.",,,6641373,,"24,636,250","37,169,305",0.01%,
Listed Equity,,,,Nu Holdings Ltd.,,,BN6NP19,,"1,677,694","42,115,315",0.02%,
Listed Equity,,,,Nucor Corp.,,,2651086,,"124,516","30,560,896",0.01%,
Listed Equity,,,,"Nutanix, Inc.",,,BYQBFT8,,"22,320","1,730,105",0.00%,
Listed Equity,,,,Nutrien Ltd.,,,BDRJLN0,,"359,360","33,600,218",0.01%,
Listed Equity,,,,NVIDIA Corp.,,,2379504,,"7,534,692","2,107,250,593",0.78%,
Listed Equity,,,,"NVR, Inc.",,,2637785,,"2,853","31,200,829",0.01%,
Listed Equity,,,,NXP Semiconductors NV,,,B505PN7,,"241,304","78,903,004",0.03%,
Listed Equity,,,,Obayashi Corp.,,,6656407,,"448,597","14,029,734",0.01%,
Listed Equity,,,,OBIC Co. Ltd.,,,6136749,,"199,600","9,398,971",0.00%,
Listed Equity,,,,Objective Corp. Ltd.,,,6283407,,"104,326","1,722,422",0.00%,
Listed Equity,,,,Occidental Petroleum Corp.,,,2655408,,"348,740","21,611,095",0.01%,
Listed Equity,,,,Oil Company LUKOIL PJSC,,,B59SNS8,,"398,968",0,0.00%,
Listed Equity,,,,Oil Company LUKOIL PJSC,,,4560588,,"37,484",0,0.00%,
Listed Equity,,,,"Oklo, Inc.",,,BMD78K7,,"51,565","5,548,931",0.00%,
Listed Equity,,,,"Okta, Inc.",,,BDFZSP1,,"94,477","12,250,770",0.00%,
Listed Equity,,,,"Old Dominion Freight Line, Inc.",,,2656423,,"115,427","27,140,967",0.01%,
Listed Equity,,,,Old Mutual Ltd.,,,BDVPYN5,,"9,589,323","12,930,745",0.00%,
Listed Equity,,,,Olympus Corp.,,,6658801,,"826,200","15,686,080",0.01%,
Listed Equity,,,,"Omnicom Group, Inc.",,,2279303,,"160,751","19,658,460",0.01%,
Listed Equity,,,,OMV AG,,,4651459,,"167,743","14,038,713",0.01%,
Listed Equity,,,,ON Semiconductor Corp.,,,2583576,,"338,459","27,483,774",0.01%,
Listed Equity,,,,"ONEOK, Inc.",,,2130109,,"55,662","6,135,048",0.00%,
Listed Equity,,,,oOh!media Ltd.,,,BSXN8D0,,"14,667,056","19,067,173",0.01%,
Listed Equity,,,,Ooredoo QPSC,,,6158174,,"1,546,806","8,301,019",0.00%,
Listed Equity,,,,Open Text Corp.,,,2260824,,"382,732","18,716,124",0.01%,
Listed Equity,,,,Ora Banda Mining Ltd.,,,BKDX544,,"2,449,802","3,748,197",0.00%,
Listed Equity,,,,Oracle Corp Japan,,,6141680,,"27,300","3,444,971",0.00%,
Listed Equity,,,,Oracle Corp.,,,2661568,,"249,672","72,975,286",0.03%,
Listed Equity,,,,Oracle Financial Services Software Ltd.,,,6528443,,"18,651","2,392,052",0.00%,
Listed Equity,,,,Orange Polska SA,,,5552551,,"254,302","1,080,868",0.00%,
Listed Equity,,,,Orange SA,,,5176177,,"1,499,260","37,494,861",0.01%,
Listed Equity,,,,"O'Reilly Automotive, Inc.",,,B65LWX6,,"233,250","31,903,325",0.01%,
Listed Equity,,,,Orica Ltd.,,,6458001,,"6,238,305","151,466,045",0.06%,
Listed Equity,,,,Orient Overseas (International) Ltd.,,,6659116,,"234,500","5,665,488",0.00%,
Listed Equity,,,,"Oriental Land Co., Ltd.",,,6648891,,"407,100","11,288,924",0.00%,
Listed Equity,,,,Origin Energy Ltd.,,,6214861,,"19,225,148","220,896,951",0.08%,
Listed Equity,,,,Orion Oyj,,,B17NY40,,"101,357","11,362,100",0.00%,
Listed Equity,,,,ORIX Corp.,,,6661144,,"758,240","33,035,270",0.01%,
Listed Equity,,,,Orkla ASA,,,B1VQF42,,"625,095","10,454,778",0.00%,
Listed Equity,,,,ORLEN SA,,,5810066,,"170,828","6,848,200",0.00%,
Listed Equity,,,,Orora Ltd.,,,BH4TCW7,,"2,609,120","5,766,155",0.00%,
Listed Equity,,,,Ørsted A/S,,,BYT16L4,,"269,772","7,782,926",0.00%,
Listed Equity,,,,"Osaka Gas Co., Ltd.",,,6661768,,"217,100","11,278,148",0.00%,
Listed Equity,,,,Otis Worldwide Corp.,,,BK531S8,,"34,625","4,535,493",0.00%,
Listed Equity,,,,OTP Bank Nyrt,,,7320154,,"151,267","24,355,345",0.01%,
Listed Equity,,,,OTSUKA CORP.,,,6267058,,"195,500","6,112,332",0.00%,
Listed Equity,,,,"Otsuka Holdings Co., Ltd.",,,B5LTM93,,"444,780","38,024,766",0.01%,
Listed Equity,,,,OUTsurance Group Ltd.,,,BN6QSM0,,"281,648","1,826,555",0.00%,
Listed Equity,,,,Oversea-Chinese Banking Corp. Ltd.,,,B0F9V20,,"2,213,762","51,009,227",0.02%,
Listed Equity,,,,"PACCAR, Inc.",,,2665861,,"310,927","51,713,149",0.02%,
Listed Equity,,,,Packaging Corporation of America,,,2504566,,"47,713","14,845,157",0.01%,
Listed Equity,,,,Page Industries Ltd.,,,B1VJS64,,"1,423","855,779",0.00%,
Listed Equity,,,,PagSeguro Digital Ltd.,,,BFWK4R7,,"834,816","12,068,121",0.00%,
Listed Equity,,,,Paladin Energy Ltd.,,,6668468,,"3,796,112","36,404,714",0.01%,
Listed Equity,,,,"Palantir Technologies, Inc.",,,BN78DQ4,,"620,169","165,307,100",0.06%,
Listed Equity,,,,"Palo Alto Networks, Inc.",,,B87ZMX0,,"60,581","16,733,928",0.01%,
Listed Equity,,,,Pan American Silver Corp.,,,2669272,,"187,130","14,567,766",0.01%,
Listed Equity,,,,Pan Pacific International Holdings Corp.,,,6269861,,"1,044,600","9,344,149",0.00%,
Listed Equity,,,,Panasonic Holdings Corp.,,,6572707,,"1,856,307","35,936,118",0.01%,
Listed Equity,,,,Pandora AS,,,B44XTX8,,"69,142","11,536,440",0.00%,
Listed Equity,,,,"Parade Technologies, Ltd.",,,B6RV676,,"166,000","4,626,789",0.00%,
Listed Equity,,,,Parker-Hannifin Corp.,,,2671501,,"64,686","85,261,163",0.03%,
Listed Equity,,,,Partners Group Holding AG,,,B119QG0,,"19,685","36,604,407",0.01%,
Listed Equity,,,,"Paychex, Inc.",,,2674458,,"199,439","33,550,374",0.01%,
Listed Equity,,,,"Paycom Software, Inc.",,,BL95MY0,,"35,779","8,550,261",0.00%,
Listed Equity,,,,"PayPal Holdings, Inc.",,,BYW36M8,,"526,354","46,080,148",0.02%,
Listed Equity,,,,"PDD Holdings, Inc.",,,BYVW0F7,,"295,357","50,221,984",0.02%,
Listed Equity,,,,Pearson Plc,,,0677608,,"327,068","6,926,880",0.00%,
Listed Equity,,,,Pegatron Corp.,,,B4PLX17,,"1,719,247","5,628,869",0.00%,
Listed Equity,,,,Pembina Pipeline Corp.,,,B4PT2P8,,"278,439","15,928,039",0.01%,
Listed Equity,,,,Pentair plc,,,BLS09M3,,"145,472","22,717,934",0.01%,
Listed Equity,,,,Pepkor Holdings Ltd.,,,BFXG366,,"1,130,074","2,705,091",0.00%,
Listed Equity,,,,"PepsiCo, Inc.",,,2681511,,"630,332","137,002,394",0.05%,
Listed Equity,,,,Perenti Ltd.,,,BKRKNV4,,"14,505,056","40,469,106",0.01%,
Listed Equity,,,,Pernod Ricard SA,,,4682329,,"130,682","16,824,400",0.01%,
Listed Equity,,,,Perpetual Ltd.,,,6682394,,"440,207","8,214,263",0.00%,
Listed Equity,,,,Perseus Mining Ltd.,,,B02FBC1,,"10,114,890","57,452,575",0.02%,
Listed Equity,,,,Persistent Systems Ltd.,,,BLC87W9,,"96,467","10,094,772",0.00%,
Listed Equity,,,,Petróleo Brasileiro SA,,,2682365,,"923,368","8,468,411",0.00%,
Listed Equity,,,,Petróleo Brasileiro SA,,,2684532,,"1,376,772","11,967,336",0.00%,
Listed Equity,,,,Petróleo Brasileiro SA,,,2683410,,"1,647,431","28,718,029",0.01%,
Listed Equity,,,,Petróleo Brasileiro SA,,,2616580,,"799,093","14,624,815",0.01%,
Listed Equity,,,,Petronas Dagangan Bhd.,,,6695938,,"273,400","2,016,596",0.00%,
Listed Equity,,,,Petronet LNG Ltd.,,,B00KT68,,"1,735,246","8,225,153",0.00%,
Listed Equity,,,,PEXA Group Ltd.,,,BMD0WJ3,,"298,801","4,012,897",0.00%,
Listed Equity,,,,Pfizer Inc.,,,2684703,,"3,207,441","119,764,986",0.04%,
Listed Equity,,,,PG&E Corp.,,,2689560,,"1,165,046","28,163,067",0.01%,
Listed Equity,,,,PharmaEssentia Corp.,,,BJTCKZ4,,"146,640","3,289,342",0.00%,
Listed Equity,,,,"PharmaResearch Co., Ltd.",,,BYMXFQ5,,"16,946","7,125,612",0.00%,
Listed Equity,,,,Phillips 66,,,B78C4Y8,,"114,718","22,198,711",0.01%,
Listed Equity,,,,Phison Electronics Corp.,,,6728469,,"113,000","7,848,523",0.00%,
Listed Equity,,,,Phoenix Financial Ltd.,,,6460590,,"144,465","8,958,890",0.00%,
Listed Equity,,,,Phoenix Group Holdings Plc,,,BGXQNP2,,"248,956","3,700,841",0.00%,
Listed Equity,,,,PhosAgro PJSC,,,B6Q70J5,,"16,289",0,0.00%,
Listed Equity,,,,PI Industries Ltd.,,,B992PT3,,"63,229","3,416,109",0.00%,
Listed Equity,,,,"PICC Property & Casualty Co., Ltd.",,,6706250,,"2,482,000","7,823,156",0.00%,
Listed Equity,,,,Pidilite Industries Ltd.,,,B0JJV59,,"207,696","5,136,949",0.00%,
Listed Equity,,,,"Ping An Bank Co., Ltd.",,,BD5CPS4,,"538,700","1,320,542",0.00%,
Listed Equity,,,,Ping An Insurance (Group) Co. of China Ltd.,,,BP3R284,,"248,948","3,658,342",0.00%,
Listed Equity,,,,Ping An Insurance (Group) Co. of China Ltd.,,,B01FLR7,,"1,669,000","20,949,211",0.01%,
Listed Equity,,,,Pinnacle Investment Management Group Ltd.,,,BD0F7H1,,"336,445","5,770,032",0.00%,
Listed Equity,,,,"Pinterest, Inc.",,,BJ2Z0H2,,"201,816","7,835,370",0.00%,
Listed Equity,,,,Piraeus Bank SA,,,BVLKBV3,,"1,734,670","20,756,248",0.01%,
Listed Equity,,,,PKO Bank Polski SA,,,B03NGS5,,"475,954","16,906,333",0.01%,
Listed Equity,,,,PLS Group Ltd.,,,B2368L5,,"32,918,305","138,915,247",0.05%,
Listed Equity,,,,PNB Housing Finance Ltd.,,,BD6FGZ6,,"115,084","1,826,987",0.00%,
Listed Equity,,,,Polycab India Ltd.,,,BHKDY38,,"130,825","16,630,312",0.01%,
Listed Equity,,,,Polyus PJSC,,,B57R0L9,,"241,510",0,0.00%,
Listed Equity,,,,Pop Mart International Group Ltd.,,,BN6PP37,,"379,400","13,720,139",0.01%,
Listed Equity,,,,Porsche AG,,,BJN59B8,,"60,470","4,858,494",0.00%,
Listed Equity,,,,Porsche Automobil Holding SE,,,7101069,,"146,398","10,292,767",0.00%,
Listed Equity,,,,Porto Seguro SA,,,B0498T7,,"955,900","13,112,303",0.00%,
Listed Equity,,,,"Postal Savings Bank of China Co., Ltd.",,,BL61XF9,,"628,300","735,670",0.00%,
Listed Equity,,,,Poste Italiane SpA,,,BYYN701,,"291,521","11,028,351",0.00%,
Listed Equity,,,,Pou Chen Corp.,,,6696157,,"9,439,000","13,582,260",0.01%,
Listed Equity,,,,Power Assets Holdings Ltd.,,,6435327,,"1,070,392","11,373,268",0.00%,
Listed Equity,,,,Power Corp. of Canada,,,2697701,,"424,407","34,154,869",0.01%,
Listed Equity,,,,Power Finance Corp. Ltd.,,,B1S7225,,"1,024,396","6,074,310",0.00%,
Listed Equity,,,,Power Grid Corp. of India Ltd.,,,B233HS6,,"4,253,787","18,779,207",0.01%,
Listed Equity,,,,"Powertech Technology, Inc.",,,6599676,,"185,000","1,527,484",0.00%,
Listed Equity,,,,Powszechny Zaklad Ubezpieczen SA,,,B63DG21,,"1,102,840","30,700,645",0.01%,
Listed Equity,,,,PPB Group Bhd.,,,6681669,,"563,600","2,303,488",0.00%,
Listed Equity,,,,"PPG Industries, Inc.",,,2698470,,"102,642","15,770,712",0.01%,
Listed Equity,,,,PPL Corp.,,,2680905,,0,"129,092",0.00%,
Listed Equity,,,,Premier Investments Ltd.,,,6699781,,"1,445,276","20,962,695",0.01%,
Listed Equity,,,,Primax Electronics Ltd.,,,B5M70F8,,"1,445,000","5,296,486",0.00%,
Listed Equity,,,,"Principal Financial Group, Inc.",,,2803014,,"116,276","15,380,829",0.01%,
Listed Equity,,,,PRIO SA,,,BYY0144,,"591,400","6,703,514",0.00%,
Listed Equity,,,,Pro Medicus Ltd.,,,6292782,,"797,144","176,065,195",0.07%,
Listed Equity,,,,Procter & Gamble Co.,,,2704407,,"1,244,061","267,356,050",0.10%,
Listed Equity,,,,Progressive Corp.,,,2705024,,"288,333","98,461,709",0.04%,
Listed Equity,,,,"Prologis, Inc.",,,B44WZD7,,"251,533","48,152,812",0.02%,
Listed Equity,,,,Promotora y Operadora de Infraestructura SA,,,2393388,,"446,765","9,961,788",0.00%,
Listed Equity,,,,Prosus NV,,,BJDS7L3,,"705,514","65,668,497",0.02%,
Listed Equity,,,,"Prudential Financial, Inc.",,,2819118,,"221,261","37,453,613",0.01%,
Listed Equity,,,,Prudential Plc,,,0709954,,"1,929,543","44,543,112",0.02%,
Listed Equity,,,,Prysmian SpA,,,B1W4V69,,"155,599","23,671,537",0.01%,
Listed Equity,,,,PT Aneka Tambang Tbk,,,6053859,,"27,344,200","7,746,076",0.00%,
Listed Equity,,,,PT Bank Central Asia Tbk,,,B01C1P6,,"131,940,100","95,813,198",0.04%,
Listed Equity,,,,PT Bank Mandiri (Persero) Tbk,,,6651048,,"14,292,900","6,555,360",0.00%,
Listed Equity,,,,PT Bank Negara Indonesia (Persero) Tbk,,,6727121,,"23,019,332","9,046,491",0.00%,
Listed Equity,,,,PT Bank Rakyat Indonesia (Persero) Tbk,,,6709099,,"38,048,254","12,921,843",0.00%,
Listed Equity,,,,PT Bumi Resources Minerals Tbk,,,B3R5893,,"20,987,900","2,076,193",0.00%,
Listed Equity,,,,PT Charoen Pokphand Indonesia Tbk,,,6315344,,"2,010,500","815,430",0.00%,
Listed Equity,,,,PT GoTo Gojek Tokopedia Tbk,,,BQ3R601,,"638,164,400","3,672,980",0.00%,
Listed Equity,,,,PT Indofood CBP Sukses Makmur Tbk,,,B4LD3M8,,"923,200","680,794",0.00%,
Listed Equity,,,,PT Kalbe Farma Tbk,,,B7311V6,,"19,019,200","2,061,035",0.00%,
Listed Equity,,,,PT Perusahaan Gas Negara (Persero) Tbk,,,6719764,,"27,472,500","4,718,865",0.00%,
Listed Equity,,,,PT Telkom Indonesia (Persero) Tbk,,,BD4T6W7,,"130,754,064","40,920,454",0.02%,
Listed Equity,,,,PT Unilever Indonesia Tbk,,,6687184,,"1,634,000","382,060",0.00%,
Listed Equity,,,,PT United Tractors Tbk,,,6230845,,"4,272,700","11,335,232",0.00%,
Listed Equity,,,,"PTC, Inc.",,,B95N910,,"10,481","2,738,090",0.00%,
Listed Equity,,,,Public Bank Bhd.,,,B012W42,,"941,405","1,579,400",0.00%,
Listed Equity,,,,"Public Service Enterprise Group, Inc.",,,2707677,,"144,229","17,367,607",0.01%,
Listed Equity,,,,Public Storage,,,2852533,,"109,238","42,509,201",0.02%,
Listed Equity,,,,Publicis Groupe SA,,,4380429,,"196,160","30,616,014",0.01%,
Listed Equity,,,,"PulteGroup, Inc.",,,2708841,,"284,064","50,061,035",0.02%,
Listed Equity,,,,Punjab National Bank,,,BTDV035,,"10,004,309","20,627,518",0.01%,
Listed Equity,,,,"Pure Storage, Inc.",,,BYZ62T3,,"102,423","10,292,217",0.00%,
Listed Equity,,,,Qantas Airways Ltd.,,,6710347,,"20,761,362","215,502,938",0.08%,
Listed Equity,,,,Qatar Fuel-Woqod QSC,,,6516556,,"302,674","1,891,089",0.00%,
Listed Equity,,,,Qatar International Islamic Bank,,,6571544,,"145,686","685,828",0.00%,
Listed Equity,,,,Qatar Islamic Bank,,,6713982,,"1,756,011","17,321,437",0.01%,
Listed Equity,,,,Qatar National Bank QPSC,,,6148197,,"3,146,413","24,181,238",0.01%,
Listed Equity,,,,QBE Insurance Group Ltd.,,,6715740,,"19,734,329","392,515,804",0.15%,
Listed Equity,,,,"Qfin Holdings, Inc.",,,BFMV9Y2,,"26,410","763,171",0.00%,
Listed Equity,,,,QIAGEN NV,,,BNXJZX2,,"134,183","9,182,287",0.00%,
Listed Equity,,,,"Qnity Electronics, Inc.",,,BW1P234,,"107,135","13,117,752",0.00%,
Listed Equity,,,,Qoria Ltd.,,,BMXLP20,,"23,969,227","14,021,998",0.01%,
Listed Equity,,,,"QUALCOMM, Inc.",,,2714923,,"1,106,512","283,825,264",0.11%,
Listed Equity,,,,Quálitas Controladora SAB de CV,,,BYMXF65,,"878,007","13,668,479",0.01%,
Listed Equity,,,,"Quanta Computer, Inc.",,,6141011,,"220,000","2,855,948",0.00%,
Listed Equity,,,,"Quanta Services, Inc.",,,2150204,,"41,084","26,002,719",0.01%,
Listed Equity,,,,Qube Holdings Ltd.,,,B1L4BC6,,"16,093,059","76,763,891",0.03%,
Listed Equity,,,,"Quest Diagnostics, Inc.",,,2702791,,"57,425","14,943,331",0.01%,
Listed Equity,,,,Radiant Opto-Electronics Corp.,,,6520278,,"856,000","5,065,872",0.00%,
Listed Equity,,,,Radico Khaitan Ltd.,,,B0VY3T0,,"42,778","2,354,157",0.00%,
Listed Equity,,,,Raia Drogasil SA,,,B7FQV64,,"285,812","1,858,206",0.00%,
Listed Equity,,,,"Rakuten Group, Inc.",,,6229597,,"569,900","5,474,072",0.00%,
Listed Equity,,,,Ramelius Resources Ltd.,,,6586872,,"27,360,001","113,817,604",0.04%,
Listed Equity,,,,Ramsay Health Care Ltd.,,,6041995,,"1,848,382","63,510,406",0.02%,
Listed Equity,,,,Randstad NV,,,5228658,,"98,198","5,598,244",0.00%,
Listed Equity,,,,Rational AG,,,5910609,,"4,424","5,154,083",0.00%,
Listed Equity,,,,"Raymond James Financial, Inc.",,,2718992,,"103,274","24,870,318",0.01%,
Listed Equity,,,,"RB Global, Inc.",,,BMWGTH9,,"70,261","10,861,776",0.00%,
Listed Equity,,,,REA Group Ltd.,,,6198578,,"654,574","120,042,326",0.04%,
Listed Equity,,,,Realtek Semiconductor Corp.,,,6051422,,"823,202","19,212,064",0.01%,
Listed Equity,,,,Realty Income Corp.,,,2724193,,"216,502","18,388,953",0.01%,
Listed Equity,,,,REC Ltd.,,,B2Q7WL3,,"781,316","4,651,181",0.00%,
Listed Equity,,,,Reckitt Benckiser Group Plc,,,B24CGK7,,"410,206","49,660,181",0.02%,
Listed Equity,,,,Recordati SpA,,,B07DRZ5,,"61,616","5,267,442",0.00%,
Listed Equity,,,,"Recruit Holdings Co., Ltd.",,,BQRRZ00,,"1,155,800","97,826,578",0.04%,
Listed Equity,,,,"Reddit, Inc.",,,BMVNLY2,,"26,777","9,230,305",0.00%,
Listed Equity,,,,Rede D'Or São Luiz SA,,,BNDQ8P6,,"6,473,729","73,630,728",0.03%,
Listed Equity,,,,Redefine Properties Ltd.,,,BMP3858,,"10,075,706","5,471,118",0.00%,
Listed Equity,,,,Redeia Corporacion SA,,,BD6FXN3,,"255,928","6,837,697",0.00%,
Listed Equity,,,,Redington Ltd. (India),,,B1R3S15,,"585,473","2,660,394",0.00%,
Listed Equity,,,,Redox Ltd.,,,BQ81P89,,"327,462","995,484",0.00%,
Listed Equity,,,,Reece Ltd.,,,6728801,,"2,416,389","32,379,613",0.01%,
Listed Equity,,,,Regency Centers Corp.,,,2726177,,"68,577","7,176,495",0.00%,
Listed Equity,,,,"Regeneron Pharmaceuticals, Inc.",,,2730190,,"63,997","74,075,676",0.03%,
Listed Equity,,,,Regions Financial Corp.,,,B01R311,,"464,120","19,045,728",0.01%,
Listed Equity,,,,Regis Healthcare Ltd.,,,BQV68F9,,"5,253,368","36,510,908",0.01%,
Listed Equity,,,,Regis Resources Ltd.,,,6476542,,"6,039,285","45,596,602",0.02%,
Listed Equity,,,,Reinet Investments SCA,,,BF52QF2,,"55,688","2,923,068",0.00%,
Listed Equity,,,,Reliance Industries Ltd.,,,6099626,,"3,241,924","84,942,452",0.03%,
Listed Equity,,,,Reliance Worldwide Corp. Ltd.,,,BD1DM79,,"9,438,553","36,432,815",0.01%,
Listed Equity,,,,"Reliance, Inc.",,,2729068,,"23,118","10,014,391",0.00%,
Listed Equity,,,,RELX Plc,,,B2B0DG9,,"1,104,421","67,274,711",0.02%,
Listed Equity,,,,RELX Plc,,,BYWLC68,,"449,588","27,459,991",0.01%,
Listed Equity,,,,Renault SA,,,4712798,,"171,725","10,712,443",0.00%,
Listed Equity,,,,Renesas Electronics Corp.,,,6635677,,"1,389,300","28,778,768",0.01%,
Listed Equity,,,,Rentokil Initial Plc,,,B082RF1,,"1,125,653","10,160,331",0.00%,
Listed Equity,,,,Repsol SA,,,5669354,,"1,170,797","32,837,304",0.01%,
Listed Equity,,,,"Republic Services, Inc.",,,2262530,,"69,386","22,051,398",0.01%,
Listed Equity,,,,"ResMed, Inc.",,,2732903,,"83,375","30,115,523",0.01%,
Listed Equity,,,,"Resona Holdings, Inc.",,,6421553,,"901,100","12,870,960",0.00%,
Listed Equity,,,,"Restaurant Brands International, Inc.",,,BTF8CF0,,"112,468","11,628,394",0.00%,
Listed Equity,,,,Rexel SA,,,B1VP0K0,,"194,872","11,528,317",0.00%,
Listed Equity,,,,Rhb Bank Bhd.,,,6244675,,"6,557,755","18,683,979",0.01%,
Listed Equity,,,,Rheinmetall AG,,,5334588,,"26,660","73,294,181",0.03%,
Listed Equity,,,,Ridley Corp. Ltd.,,,6738929,,"8,678,578","22,998,232",0.01%,
Listed Equity,,,,Rio Tinto Ltd.,,,6220103,,"4,211,269","618,298,515",0.23%,
Listed Equity,,,,Rio Tinto Plc,,,0718875,,"978,901","118,349,331",0.04%,
Listed Equity,,,,"Rivian Automotive, Inc.",,,BL98841,,"70,131","2,072,853",0.00%,
Listed Equity,,,,Riyad Bank,,,B12LZW4,,"1,954,819","21,211,156",0.01%,
Listed Equity,,,,"Robinhood Markets, Inc.",,,BP0TQN6,,"65,023","11,028,119",0.00%,
Listed Equity,,,,Roblox Corp.,,,BMWBC20,,"52,020","6,321,033",0.00%,
