Liable entity,Assessment year,LGC liability (Number of certificates)#,LGCs accepted for surrender,Remaining LGC Shortfall (Number of certificates),LGC shortfall (percentage of total LGC liability),"LGC shortfall charge issued (Y/N) *","LGCs surrendered for refund *",Value of LGC shortfall charge ($),LGC shortfall status *
Mojo Power Pty Ltd (Receivers and Managers Appointed) (External Administration)),2022,"11,238",0,"11,238",100.00,Yes,0,"730,470 ",No LGCs surrendered for refund
Origin Energy Electricity Limited,2022,"6,330,084","3,161,516",0,50.05,Yes,"3,168,568",0 ,Charge fully refunded
POOLED ENERGY PTY LIMITED - Under administration,2022,"1,204",0,"1,204",97.17,Yes,0,"78,260 ",No LGCs surrendered for refund
POWER CLUB LIMITED - Under administration,2022,"2,072",0,"2,072",96.50,Yes,0,"134,680 ",No LGCs surrendered for refund
Qenergy Limited - (Receivers and Managers Appointed) (External Administration)),2022,"42,015",0,"42,015",100.00,Yes,0,"2,730,975 ",No LGCs surrendered for refund
Rimfire Energy Pty Ltd,2022,"22,199","15,000",0,32.42,Yes,"7,199",0 ,Charge fully refunded
SOCIAL ENERGY AUSTRALIA PTY LTD - Under administration,2022,135,0,135,100.00,Yes,0,"8,775 ",No LGCs surrendered for refund
Synergen Power Pty Limited,2022,487,0,0,100.00,Yes,487,0 ,Charge fully refunded
TOTALENERGIES GAS & POWER AUSTRALIA PTY LTD,2022,"134,162",0,0,100.00,Yes,"134,162",0 ,Charge fully refunded
AGL Sales Pty Limited,2023,"3,821,764","3,036,764","785,000",20.54,Yes,0,"51,025,000 ",No LGCs surrendered for refund
Alinta Energy Retail Sales Pty. Ltd.,2023,"1,050,603",0,"1,050,603",100.00,Yes,0,"68,289,195 ",No LGCs surrendered for refund
Alinta Sales Pty Ltd,2023,"483,374",0,"483,374",100.00,Yes,0,"31,419,310 ",No LGCs surrendered for refund
Amanda Energy Pty Ltd,2023,"30,118","14,278",0,52.59,Yes,"15,840",0 ,Charge fully refunded
Aurora Energy Pty Ltd,2023,"708,621","535,688","172,933",24.40,Yes,0,"11,240,645 ",No LGCs surrendered for refund
AUSTRALIAN POWER PARTNERS B V and Others,2023,"2,121",0,"2,121",100.00,Yes,0,"137,865 ",No LGCs surrendered for refund
GEE POWER & GAS PTY LTD,2023,195,0,0,100.00,Yes,195,0 ,Charge fully refunded
IPOWER 2 PTY LIMITED and IPOWER PTY LIMITED TA ENGIE,2023,"582,822",658,"582,164",99.88,Yes,0,"37,840,660 ",No LGCs surrendered for refund
Lumo Energy (SA) Pty Ltd,2023,"48,781",0,"48,781",100.00,Yes,0,"3,170,765 ",No LGCs surrendered for refund
Lumo Energy Australia Pty Ltd,2023,"172,075",21,"172,054",99.98,Yes,0,"11,183,510 ",No LGCs surrendered for refund
MAXIMUM ENERGY RETAIL PTY LTD,2023,"1,645",25,"1,620",98.48,Yes,0,"105,300 ",No LGCs surrendered for refund
MOJO POWER EAST PTY LTD (In liquidation),2023,"1,825",0,"1,825",100.00,Yes,0,"118,625 ",No LGCs surrendered for refund
Mojo Power Pty Ltd (Receivers and Managers Appointed) (External Administration)),2023,"3,374",0,"3,374",100.00,Yes,0,"219,310 ",No LGCs surrendered for refund
MONDO METERING PTY LTD,2023,71,0,71,100.00,Yes,0,"4,615 ",No LGCs surrendered for refund
Qenergy Limited - (Receivers and Managers Appointed) (External Administration)),2023,"12,417",0,"12,417",100.00,Yes,0,"807,105 ",No LGCs surrendered for refund
Red Energy Pty. Limited,2023,"1,421,278","663,800","757,478",53.15,Yes,0,"49,236,070 ",No LGCs surrendered for refund
Synergen Power Pty Limited,2023,84,0,84,100.00,Yes,0,"5,460 ",No LGCs surrendered for refund
AGL Sales Pty Limited,2024,"3,579,001","2,292,516","1,286,485",35.94,Yes,0,"83,621,525 ",No LGCs surrendered for refund
