Organisation name,Identifying details,Total scope 1 emissions (t CO2-e),Total scope 2 emissions (t CO2-e),Net energy consumed (GJ),Important notes
KILCOY INDUSTRIES AUSTRALIA PTY LTD,16 125 927 308,"23,756","37,807","612,779",-
SORBENT PAPER HOLDINGS PTY LTD,20 631 219 906,"23,545","60,262","730,268",-
NORTHERN SEQ DISTRIBUTOR - RETAILER AUTHORITY,89 791 717 472,"23,522","55,492","387,427",-
AAPC LIMITED,87 009 175 820,"23,115","153,703","1,255,337",-
ST VINCENT'S HEALTH AUSTRALIA LTD,75 073 503 536,"22,484","99,922","935,984",-
QUEENSLAND ELECTRICITY TRANSMISSION CORPORATION LIMITED,82 078 849 233,"22,399","885,734","4,414,085",-
CCEP HOLDINGS (AUSTRALIA) PTY LTD,80 645 547 968,"22,297","76,131","812,558",-
CKI UTILITIES DEVELOPMENT LIMITED & OTHERS,13 332 330 749,"20,747","185,458","2,907,535",-
IWATANI AUSTRALIA PTY LTD,85 008 902 841,"20,039","31,712","512,370",-
KIRKLAND LAKE GOLD AUSTRALIA PTY LTD,30 136 505 587,"19,903","129,396","893,294",-
SIBANYE STILLWATER AUSTRALIA OPERATIONS PTY LTD,53 142 165 080,"18,824","161,500","1,122,944",-
ASSOCIATED KILN DRIERS PTY. LIMITED,34 004 341 048,"18,453","50,411","2,333,681",-
MONASH UNIVERSITY,12 377 614 012,"18,242","86,797","759,524",-
OLAM ORCHARDS AUSTRALIA PTY LTD,15 139 442 532,"17,634","62,477","554,024",-
CO-OPERATIVE BULK HANDLING LIMITED,29 256 604 947,"17,431","42,609","567,846",-
MONASH HEALTH,82 142 080 338,"17,066","56,341","585,137",-
METCASH LIMITED,32 112 073 480,"16,809","54,485","460,352",-
EPSILON DISTRIBUTION MINISTERIAL HOLDING CORPORATION,59 253 130 878,"16,141","579,018","3,209,490",-
RAMSAY HEALTH CARE LIMITED,57 001 288 768,"16,136","131,592","1,017,356",-
LENDLEASE CORPORATION LIMITED,32 000 226 228,"15,951","79,159","651,893",-
PACT GROUP HOLDINGS LTD,55 145 989 644,"15,797","168,149","1,201,779",-
UNIVERSITY OF MELBOURNE,84 002 705 224,"14,901","92,066","724,172",-
ANZ HOSPITALS TOPCO PTY LTD,20 631 014 965,"14,733","71,441","675,392",-
ALKANE RESOURCES LTD,35 000 689 216,"14,601","44,044","442,407",-
AURELIA METALS LIMITED,37 108 476 384,"14,338","64,050","549,773",-
AUSTRALIAN NATIONAL UNIVERSITY,52 234 063 906,"14,323","73,191","620,562",-
METALS ACQUISITION CORP. (AUSTRALIA) PTY LTD,98 657 799 758,"13,585","96,007","704,609",-
"COSTCO WHOLESALE AUSTRALIA, PTY. LTD.",57 104 012 893,"13,328","48,061","336,631",-
AUSGRID MANAGEMENT PTY LTD,83 615 449 548,"13,058","613,641","3,391,370",-
IVE GROUP LIMITED,62 606 252 644,"13,046","66,101","540,430",-
COMPETITIVE FOODS AUSTRALIA PTY LTD,48 010 542 908,"12,972","99,408","797,367",-
ST JOHN OF GOD HEALTH CARE INC,21 930 207 958,"12,682","48,997","527,431",-
NORTH METROPOLITAN HEALTH SERVICE,61 282 636 952,"11,848","48,563","558,048",-
LINEAGE AP HOLDINGS PTY LTD,27 637 083 544,"11,771","78,631","584,115",-
BP AUSTRALIA INVESTMENTS PTY LTD,66 102 991 551,"11,625","76,279","627,855",-
EVT LIMITED,51 000 005 103,"11,610","102,398","767,016",-
CHEMCO PTY LTD,68 008 725 817,"11,298","110,906","846,768",-
PERILYA LIMITED,85 009 193 695,"10,999","105,301","740,577",-
COMMONWEALTH SCIENTIFIC AND INDUSTRIAL RESEARCH ORGANISATION,41 687 119 230,"10,769","65,084","581,846",-
MIRVAC LIMITED,92 003 280 699,"10,698","73,899","562,930",-
RICEGROWERS LIMITED,55 007 481 156,"10,493","63,040","517,189",-
SYDNEY TRAINS,38 284 779 682,"10,475","439,003","2,468,442",-
MATER MISERICORDIAE LTD,83 096 708 922,"10,175","55,801","399,531",-
SCENTRE GROUP LIMITED,66 001 671 496,"10,046","179,604","1,149,016",-
VILO ENTERPRISES PTY LTD,070 890 229,"9,428","41,388","343,615",-
DEXUS HOLDINGS PTY LIMITED,48 110 366 946,"8,963","105,077","678,165",-
THE STAR ENTERTAINMENT GROUP LIMITED,85 149 629 023,"8,919","82,947","591,664",-
THE UNITING CHURCH IN AUSTRALIA PROPERTY TRUST (Q.),25 548 385 225,"8,877","66,416","468,888",-
PUBLIC TRANSPORT AUTHORITY OF WESTERN AUSTRALIA,61 850 109 576,"8,040","127,165","979,653",-
CHARTER HALL LIMITED,57 113 531 150,"7,984","92,944","620,493",-
SUN METALS HOLDINGS LIMITED,30 051 538 580,"7,817","513,958","3,368,307",-
TASMANIAN NETWORKS PTY LTD,24 167 357 299,"7,769","52,876","1,643,823",-
HOLIDAY INNS HOLDINGS (AUSTRALIA) PTY. LIMITED,95 003 621 216,"7,760","42,483","393,336",-
UNIVERSITY OF NEW SOUTH WALES,57 195 873 179,"7,651","64,858","492,540",-
SONIC HEALTHCARE LIMITED,24 004 196 909,"7,415","49,650","377,436",-
AIR LIQUIDE AUSTRALIA LIMITED,57 004 385 782,"7,376","168,913","1,465,660",-
GPT MANAGEMENT HOLDINGS LIMITED,67 113 510 188,"6,599","81,436","503,632",-
THE UNIVERSITY OF SYDNEY,15 211 513 464,"6,594","75,432","526,235",-
SYDNEY AVIATION ALLIANCE HOLDINGS PTY LTD,54 654 912 197,"6,524","65,277","455,842",-
IX INFRASTRUCTURE PTY LTD,78 629 750 401,"6,296","114,969","1,348,594",-
QIC LIMITED,95 942 373 762,"6,228","62,054","493,137",-
METRO TRAINS AUSTRALIA PTY LTD,88 614 061 960,"6,178","355,706","1,712,717",-
NBN CO LIMITED,86 136 533 741,"5,896","268,523","1,546,841",-
NSW ELECTRICITY NETWORKS OPERATIONS HOLDINGS PTY LTD,609 266 033,"5,680","1,668,140","8,894,683",-
PFG TOPCO1 PTY LIMITED,35 604 317 875,"5,510","53,119","366,175",-
VICINITY LIMITED,90 114 757 783,"5,349","105,331","666,832",-
TRANSURBAN HOLDINGS LIMITED,86 098 143 429,"5,275","182,626","1,014,278",-
COMMONWEALTH BANK OF AUSTRALIA,48 123 123 124,"4,952","58,505","389,468",-
WESTPAC BANKING CORPORATION,33 007 457 141,"4,817","47,775","327,689",-
TPG TELECOM LIMITED,76 096 304 620,"4,341","233,633","1,362,939",-
NATIONAL AUSTRALIA BANK LIMITED,12 004 044 937,"4,329","47,165","297,880",-
ANZ GROUP HOLDINGS LIMITED,16 659 510 791,"4,074","56,452","334,271",-
ELECTRANET PTY LIMITED,41 094 482 416,"3,478","106,344","1,536,157",-
SUNWATER LIMITED,17 020 276 523,"3,370","118,951","633,311",-
DALRYMPLE BAY COAL TERMINAL PTY. LTD.,12 010 268 167,"3,210","73,223","409,011",-
QUEENSLAND BULK WATER SUPPLY AUTHORITY,75 450 239 876,"2,451","136,564","706,356",-
MYER HOLDINGS LIMITED,14 119 085 602,"2,366","77,500","445,706",-
THE UNIVERSITY OF QUEENSLAND,63 942 912 684,"2,319","103,886","572,296",-
AIRTRUNK AUSTRALIA HOLDING PTY LTD,50 616 379 232,"1,826","450,207","2,275,838",-
A.C.N. 085 239 998 PTY LTD,39 085 239 998,"1,762","147,164","832,326",-
FREQUENCY INFRASTRUCTURE AUSTRALIA HOLDINGS PTY LTD,27 136 262 952,"1,759","58,142","361,614",-
SINGAPORE TELECOM AUSTRALIA INVESTMENTS PTY LIMITED,69 096 686 190,"1,662","350,618","1,917,017",-
FUJITSU AUSTRALIA LTD,19 001 011 427,"1,638","59,805","322,918",-
NEXTDC LIMITED,35 143 582 521,"1,614","335,627","1,744,228",-
SUPER RETAIL GROUP LIMITED,81 108 676 204,804,"54,084","303,078",-
EQUINIX AUSTRALIA PTY LIMITED,25 092 807 264,799,"279,218","1,449,889",-
AR HOLDCO PTY LTD,43 673 156 593,727,"107,638","552,753",-
AMAZON CORPORATE SERVICES PTY LTD,95 082 931 600,583,"319,138","1,684,160",-
AMERICOLD LOGISTICS LIMITED,58 004 902 998,418,"52,689","293,025",-
PORT WARATAH COAL SERVICES LTD,99 001 363 828,413,"92,527","495,964",-
NCIG HOLDINGS PTY LTD,98 124 700 483,379,"49,867","270,249",-
MCDONALD'S AUSTRALIA LIMITED,43 008 496 928,320,"66,784","364,883",-
GLOBAL SWITCH AUSTRALIA HOLDINGS PTY LIMITED,35 138 200 049,311,"78,961","422,466",-
CDC GROUP HOLDINGS PTY LTD,67 612 332 073,301,"257,540","1,367,770",-
METRO TRAINS SYDNEY PTY LTD,54 600 820 737,279,"59,363","318,455",-
JB HI-FI LIMITED,80 093 220 136,267,"56,248","317,693",-
DIGITAL AUSTRALIA INVESTMENT MANAGEMENT PTY LIMITED,27 150 294 134,138,"63,900","322,737",-
